RX Date/Time,Group/Time,Group/New Plot
2025/11/16 23:44:46::249,665117437,271.622
2025/11/16 23:44:46::249,665117439,273.234
2025/11/16 23:44:46::249,665117442,272.428
2025/11/16 23:44:46::249,665117445,273.234
2025/11/16 23:44:46::249,665117447,275.652
2025/11/16 23:44:46::249,665117450,274.040
2025/11/16 23:44:46::249,665117458,268.398
2025/11/16 23:44:46::249,665117461,270.010
2025/11/16 23:44:46::249,665117464,273.234
2025/11/16 23:44:46::251,665120389,222.456
2025/11/16 23:44:46::251,665120392,238.576
2025/11/16 23:44:46::251,665120394,245.830
2025/11/16 23:44:46::251,665120397,253.084
2025/11/16 23:44:46::251,665120400,257.920
2025/11/16 23:44:46::251,665120402,261.144
2025/11/16 23:44:46::251,665120405,265.174
2025/11/16 23:44:46::252,665120408,267.592
2025/11/16 23:44:46::252,665120410,270.816
2025/11/16 23:44:46::252,665120413,270.010
2025/11/16 23:44:46::252,665120416,266.786
2025/11/16 23:44:46::252,665120418,284.518
2025/11/16 23:44:46::252,665120421,268.398
2025/11/16 23:44:46::252,665120423,277.264
2025/11/16 23:44:46::252,665120426,277.264
2025/11/16 23:44:46::252,665120429,278.070
2025/11/16 23:44:46::252,665120431,275.652
2025/11/16 23:44:46::252,665120434,278.876
2025/11/16 23:44:46::252,665120437,278.070
2025/11/16 23:44:46::252,665120439,278.876
2025/11/16 23:44:46::254,665123396,238.576
2025/11/16 23:44:46::254,665123398,246.636
2025/11/16 23:44:46::254,665123401,253.084
2025/11/16 23:44:46::254,665123404,258.726
2025/11/16 23:44:46::254,665123406,261.950
2025/11/16 23:44:46::254,665123409,265.980
2025/11/16 23:44:46::254,665123411,262.756
2025/11/16 23:44:46::255,665123414,271.622
2025/11/16 23:44:46::255,665123417,277.264
2025/11/16 23:44:46::255,665123419,273.234
2025/11/16 23:44:46::255,665123422,275.652
2025/11/16 23:44:46::255,665123425,277.264
2025/11/16 23:44:46::255,665123427,278.070
2025/11/16 23:44:46::255,665123430,277.264
2025/11/16 23:44:46::255,665123433,278.070
2025/11/16 23:44:46::255,665123435,278.876
2025/11/16 23:44:46::255,665123438,278.876
2025/11/16 23:44:46::255,665123440,277.264
2025/11/16 23:44:46::255,665123443,278.876
2025/11/16 23:44:46::255,665123446,280.488
2025/11/16 23:44:46::257,665126382,240.994
2025/11/16 23:44:46::257,665126384,249.860
2025/11/16 23:44:46::272,665126387,256.308
2025/11/16 23:44:46::272,665126389,260.338
2025/11/16 23:44:46::272,665126392,265.174
2025/11/16 23:44:46::272,665126395,266.786
2025/11/16 23:44:46::272,665126397,270.010
2025/11/16 23:44:46::272,665126400,271.622
2025/11/16 23:44:46::272,665126403,270.816
2025/11/16 23:44:46::272,665126405,279.682
2025/11/16 23:44:46::272,665126408,270.816
2025/11/16 23:44:46::272,665126410,278.070
2025/11/16 23:44:46::272,665126413,278.070
2025/11/16 23:44:46::272,665126416,278.876
